Time (UTCG),Power (W),Solar Intensity,Effective Area (m^2),Irradiance (W/m^2)
All,,,,
00:00:00.0,9.857,1,0.026002,1353.879372
00:00:01.0,9.858,1,0.026004,1353.912585
00:00:02.0,9.858,1,0.026005,1353.860521
00:00:03.0,9.858,1,0.026005,1353.860521
00:00:04.0,9.858,1,0.026003,1353.964652
00:00:05.0,9.858,1,0.026003,1353.964652
00:00:06.0,9.855,1,0.025996,1353.917086
00:00:07.0,9.852,1,0.025988,1353.92159
00:00:08.0,9.85,1,0.025982,1353.959334
00:00:09.0,9.847,1,0.025975,1353.911728
00:00:10.0,9.844,1,0.025967,1353.916234
00:00:11.0,9.843,1,0.025963,1353.987268
00:00:12.0,9.843,1,0.025965,1353.882974
00:00:13.0,9.843,1,0.025964,1353.935119
00:00:14.0,9.841,1,0.02596,1353.868589
00:00:15.0,9.839,1,0.025954,1353.906362
00:00:16.0,9.839,1,0.025953,1353.958529
00:00:17.0,9.837,1,0.025948,1353.944152
00:00:18.0,9.837,1,0.025948,1353.944152
00:00:19.0,9.836,1,0.025946,1353.91087
00:00:20.0,9.836,1,0.025945,1353.963054
00:00:21.0,9.832,1,0.025936,1353.882083
00:00:22.0,9.831,1,0.025933,1353.900987
00:00:23.0,9.829,1,0.025928,1353.886587
00:00:24.0,9.827,1,0.025922,1353.924411
00:00:25.0,9.825,1,0.025917,1353.910009
00:00:26.0,9.824,1,0.025914,1353.92893
00:00:27.0,9.823,1,0.025912,1353.895603
00:00:28.0,9.821,1,0.025908,1353.828933
00:00:29.0,9.819,1,0.025901,1353.919043
00:00:30.0,9.817,1,0.025897,1353.852349
00:00:31.0,9.817,1,0.025896,1353.90463
00:00:32.0,9.814,1,0.025888,1353.909147
00:00:33.0,9.814,1,0.025887,1353.961448
00:00:34.0,9.814,1,0.025888,1353.909147
00:00:35.0,9.812,1,0.025883,1353.894724
00:00:36.0,9.811,1,0.025881,1353.861354
00:00:37.0,9.808,1,0.025873,1353.865861
00:00:38.0,9.808,1,0.025873,1353.865861
00:00:39.0,9.806,1,0.025866,1353.956103
00:00:40.0,9.806,1,0.025868,1353.851422
00:00:41.0,9.805,1,0.025864,1353.922717
00:00:42.0,9.802,1,0.025856,1353.927245
00:00:43.0,9.801,1,0.025853,1353.946212
00:00:44.0,9.798,1,0.025846,1353.898365
00:00:45.0,9.794,1,0.025836,1353.869462
00:00:46.0,9.791,1,0.025828,1353.87398
00:00:47.0,9.789,1,0.025823,1353.859516
00:00:48.0,9.787,1,0.025817,1353.897487
